id,name,sex,age,staffel,fans,type,typisierung,sender
rilug,Vertrag,99,99,99,99,0,14,99
rigg,Richtung G,99,99,99,99,0,10,99
riboa,Riverboat,99,99,99,99,0,5,99
rpr1,Rheinland-Pfalz Rundfunk,99,99,99,99,0,11,99
smwwde,Sag mir wo wohnen die Engel,99,99,99,99,0,10,99
sana,Zirkus,99,99,99,99,0,15,99
sdgi,Sarah das grosse Interview,99,99,99,99,0,5,1
sapi,Sarah Pietro...,99,99,99,99,0,4,1
sanfe,Saturday Night Fever,99,99,99,99,0,7,99
sds,Schlag den Star,99,99,99,99,0,5,3
sam,Schlager am Meer,99,99,99,99,0,5,99
schbe,Schlagerbereich,99,99,99,99,0,5,99
schlcou,Schlagercountdown,99,99,99,99,0,5,3
schles,Schlager einer Stadt,99,99,99,99,0,5,3
schlisch,Schlager im Schnee,99,99,99,99,0,5,3
schlum,Schlager und Meer,99,99,99,99,0,5,3
sol,Secret of Live,99,99,99,99,0,10,99
senri,Senorita,99,99,99,99,0,15,99
sig,Sing,99,99,99,6,0,12,99
SK,Sarah Kreuz,2,2,6,2,1,2,99
SL,Sarah Lombardi,2,2,8,6,1,2,99
smgo,Smago,99,99,99,99,0,15,99
sgew,so gewollt,99,99,99,99,0,10,99
sbmgme,Sony BMG Music Entertainment,99,99,99,6,0,8,99
SS,Severino Seeger,1,3,12,3,1,1,99
strr,Star race,99,99,99,99,0,5,99
strig,Straight,99,99,99,99,0,10,99
sdl,Sturm der Liebe,99,99,99,99,0,5,3
staw,Style Award,99,99,99,99,0,15,99
susidi,Subsidium eV,99,99,99,99,0,15,99
swmuaw,Swiss Music Award,99,99,99,99,0,15,99
syga,Systemgastronomie,99,99,99,99,0,15,99
talu,Tabaluga,99,99,99,99,0,5,99
tff,Taff,99,99,99,99,0,5,3
tyc,Take Your Chance,99,99,99,99,0,5,99
tdv,Tanz der Vampire,99,99,99,99,0,7,99
taza,Tarzan,99,99,99,99,0,7,99
tart,Tatort,99,99,99,99,0,5,3
tevom,Teil von mir,99,99,99,99,0,10,99
textiune,Textilunternehmen,99,99,99,99,0,15,99
TG,Thomas Godoj,1,4,5,3,1,1,99
tyttf,Thank you to the fans,99,99,99,99,0,10,99
taa,The acoustiv Album,99,99,99,99,0,10,99
tbolam,The Best of Laura and Mark,99,99,99,99,0,10,99
tdom,The Dome,99,99,99,99,0,5,99
trhs,The Rocky Horror Show,99,99,99,99,0,7,99
thun,The United,99,99,99,99,0,15,99
thwiis,The winner is,99,99,99,99,0,5,2
tiencl,Tigerentenclub,99,99,99,99,0,5,3
TK,Thomas Katrozan,1,3,13,3,1,3,99
tozi,Tomzilla,99,99,99,99,0,9,99
TR,Tobias Regner,1,3,3,2,1,1,99
tvtt,TV Total Turmspringen,99,99,99,99,0,5,3
