id,name,sex,age,staffel,fans,type
alcatelfanpreis,Anderes,NA,NA,NA,NA,0
hollywoodmusicinmediaawards,Anderes,NA,NA,NA,NA,0
mynameisluca,weiteres Album,NA,NA,NA,NA,0
livinghtedream,weiteres Album,NA,NA,NA,NA,0
danceuntilwedie,weiteres Album,NA,NA,NA,NA,0
whenwewakeup,weiteres Album,NA,NA,NA,NA,0
lucahaenniundband,Anderes,NA,NA,NA,NA,0
livingthedreamtour,Anderes,NA,NA,NA,NA,0
whenwewakeuptour,Anderes,NA,NA,NA,NA,0
herrenwaeschemarke,Anderes,NA,NA,NA,NA,0
bravothehits,Show,NA,NA,NA,NA,0
derbesuchderaltendame,Anderes,NA,NA,NA,NA,0
saltonatale,Zirkus,NA,NA,NA,NA,0
dkms,Anderes,NA,NA,NA,NA,0
ensemble,Anderes,NA,NA,NA,NA,0
kampfderorchester,Show,NA,NA,NA,NA,0
metroboutique,Anderes,NA,NA,NA,NA,0
williederweihnachtsstollen,Anderes,NA,NA,NA,NA,0
PDR                                                                                                                                                          ,Prince Damien Ritzinger,1,2,13,4,1
sing,Animationsfilm,NA,NA,NA,6,0
promisunterhypnose,Fernsehsendung,NA,NA,NA,NA,0
immerwiedersonntags,Fernsehsendung,NA,NA,NA,3,0
tigerentenclub,Fernsehsendung,NA,NA,NA,NA,0
dieultimativechartshow,Die Ultimative Chartshow,NA,NA,NA,NA,0
schlagercountdown,Show,NA,NA,NA,NA,0
dancedancedance,Show,NA,NA,NA,3,0
LVDE,Laura van den Elzen,2,2,13,4,1
austriancountryaward,Austrian Counrty Award,NA,NA,NA,NA,0
wennesbrennt,weiteres Album,NA,NA,NA,NA,0
thebestoflauraandmark,weiteres Album,NA,NA,NA,NA,0
mcsberlin,Agentur,NA,NA,NA,1,0
TK,Thomas Katrozan,1,3,13,3,1
AW,Alphonso Williams,1,5,14,3,1
universalmusic,Plattenvertrag,NA,NA,NA,4,0
zdffernsehgarten,ZDF Fernsehgarten,NA,NA,NA,4,0
promibigbrother,Promi Big Brother,NA,NA,NA,5,0
AJ,Alexander Jahnke,1,3,14,3,1
grease,Musical,NA,NA,NA,2,0
MV,Maria Voskania,2,3,14,3,1
MW,Marie Wegener,2,1,15,3,1
MT,Michel Truog,1,2,15,2,1
MR,Michael Rauscher,1,1,15,2,1
