id,name,sex,age,staffel,fans,type
TK,Thomas Katrozan,1,3,13,3,1
tomzilla,Eigenes Musiklabel,NA,NA,NA,NA,0
TR,Tobias Regner,1,3,3,2,1
tvtotalturmspringen,Show,NA,NA,NA,NA,0
universalmusic,Plattenvertrag,NA,NA,NA,4,0
unteruns,Show,NA,NA,NA,NA,0
v,weiteres Album,NA,NA,NA,NA,0
verruecktnachfluss,Soap,NA,NA,NA,2,0
VG,Viviana Grisafi,2,2,12,4,1
viva,Show,NA,NA,NA,NA,0
VJD,Vanessa Jean Dedmon,2,3,3,1,1
voelkerballmeisterschaft,Show,NA,NA,NA,NA,0
vollekanne,Show,NA,NA,NA,NA,0
vomgeistderweihnacht,Musical,NA,NA,NA,NA,0
vorentscheidesc,Song Contest,NA,NA,NA,NA,0
vstaerkeraus,weiteres Album,NA,NA,NA,NA,0
vstaerkerausshow,Eigene Sendung,NA,NA,NA,NA,0
wahrheit,Single mit Bushido,NA,NA,NA,NA,0
wennderhimmelessowill,weiteres Album,NA,NA,NA,NA,0
wenndiemusispielt,Show,NA,NA,NA,NA,0
wennesbrennt,weiteres Album,NA,NA,NA,NA,0
wennesumunsstillwird,Single,NA,NA,NA,NA,0
werwirdmillionaer,Show,NA,NA,NA,NA,0
wettendass,Show,NA,NA,NA,NA,0
whenwewakeup,weiteres Album,NA,NA,NA,NA,0
whenwewakeuptour,Anderes,NA,NA,NA,NA,0
wildandyoungaward,Anderes,NA,NA,NA,NA,0
williederweihnachtsstollen,Anderes,NA,NA,NA,NA,0
willkommenbeicarmennebel,Show,NA,NA,NA,NA,0
wilsongonzalezochsenknecht,Saenger,1,2,NA,3,1
wohlfuehlgarantie,weiteres Album,NA,NA,NA,NA,0
wokwm,Show,NA,NA,NA,NA,0
worldidol,Show,NA,NA,NA,NA,0
youwantit,weiteres Album,NA,NA,NA,NA,0
zdffernsehgarten,ZDF Fernsehgarten,NA,NA,NA,4,0
zimmerfrei,Show,NA,NA,NA,NA,0
zurueckzumir,weiteres Album,NA,NA,NA,NA,0
zwischenwelten,weiteres Album,NA,NA,NA,NA,0
